BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME
RTSI,WHFOB,2021-06-01,WHFOB,Индекс пшеницы FOB регион Черного моря,242.1,242.1,242.1,242.1,201787052.23,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-31,WHFOB,Индекс пшеницы FOB регион Черного моря,241.6,241.6,241.6,241.6,195984166.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-28,WHFOB,Индекс пшеницы FOB регион Черного моря,240.3,240.3,240.3,240.3,155369956.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-27,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,154462456.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-26,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-25,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-24,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-21,WHFOB,Индекс пшеницы FOB регион Черного моря,240.4,240.4,240.4,240.4,,0.0,0.0,1,240.4,USD,1.0,3,
RTSI,WHFOB,2021-05-20,WHFOB,Индекс пшеницы FOB регион Черного моря,241.8,241.8,241.8,241.8,,0.0,0.0,1,241.8,USD,1.0,3,
RTSI,WHFOB,2021-05-19,WHFOB,Индекс пшеницы FOB регион Черного моря,242.2,242.2,242.2,242.2,,0.0,0.0,1,242.2,USD,1.0,3,
RTSI,WHFOB,2021-05-18,WHFOB,Индекс пшеницы FOB регион Черного моря,242.2,242.2,242.2,242.2,,0.0,0.0,1,242.2,USD,1.0,3,
RTSI,WHFOB,2021-05-17,WHFOB,Индекс пшеницы FOB регион Черного моря,241.4,241.4,241.4,241.4,,0.0,0.0,1,241.4,USD,1.0,3,
RTSI,WHFOB,2021-05-14,WHFOB,Индекс пшеницы FOB регион Черного моря,242.6,242.6,242.6,242.6,,0.0,0.0,1,242.6,USD,1.0,3,
RTSI,WHFOB,2021-05-13,WHFOB,Индекс пшеницы FOB регион Черного моря,242.6,242.6,242.6,242.6,,0.0,0.0,1,242.6,USD,1.0,3,
RTSI,WHFOB,2021-05-12,WHFOB,Индекс пшеницы FOB регион Черного моря,242.4,242.4,242.4,242.4,,0.0,0.0,1,242.4,USD,1.0,3,
RTSI,WHFOB,2021-05-11,WHFOB,Индекс пшеницы FOB регион Черного моря,242.4,242.4,242.4,242.4,,0.0,0.0,1,242.4,USD,1.0,3,
RTSI,WHFOB,2021-04-30,WHFOB,Индекс пшеницы FOB регион Черного моря,255.0,255.0,255.0,255.0,,0.0,0.0,1,255.0,USD,1.0,3,
RTSI,WHFOB,2021-04-29,WHFOB,Индекс пшеницы FOB регион Черного моря,257.0,257.0,257.0,257.0,,0.0,0.0,1,257.0,USD,1.0,3,
RTSI,WHFOB,2021-04-28,WHFOB,Индекс пшеницы FOB регион Черного моря,257.0,257.0,257.0,257.0,,0.0,0.0,1,257.0,USD,1.0,3,
RTSI,WHFOB,2021-04-27,WHFOB,Индекс пшеницы FOB регион Черного моря,255.8,255.8,255.8,255.8,,0.0,0.0,1,255.8,USD,1.0,3,
RTSI,WHFOB,2021-04-26,WHFOB,Индекс пшеницы FOB регион Черного моря,255.8,255.8,255.8,255.8,,0.0,0.0,1,255.8,USD,1.0,3,
RTSI,WHFOB,2021-04-23,WHFOB,Индекс пшеницы FOB регион Черного моря,265.2,265.2,265.2,265.2,,0.0,0.0,1,265.2,USD,1.0,3,
RTSI,WHFOB,2021-04-22,WHFOB,Индекс пшеницы FOB регион Черного моря,265.2,265.2,265.2,265.2,,0.0,0.0,1,265.2,USD,1.0,3,
RTSI,WHFOB,2021-04-21,WHFOB,Индекс пшеницы FOB регион Черного моря,266.5,266.5,266.5,266.5,,0.0,0.0,1,266.5,USD,1.0,3,
RTSI,WHFOB,2021-04-20,WHFOB,Индекс пшеницы FOB регион Черного моря,267.4,267.4,267.4,267.4,,0.0,0.0,1,267.4,USD,1.0,3,
RTSI,WHFOB,2021-04-19,WHFOB,Индекс пшеницы FOB регион Черного моря,267.4,267.4,267.4,267.4,,0.0,0.0,1,267.4,USD,1.0,3,
RTSI,WHFOB,2021-04-16,WHFOB,Индекс пшеницы FOB регион Черного моря,272.9,272.9,272.9,272.9,,0.0,0.0,1,272.9,USD,1.0,3,
RTSI,WHFOB,2021-04-15,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-14,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-13,WHFOB,Индекс пшеницы FOB регион Черного моря,273.7,273.7,273.7,273.7,,0.0,0.0,1,273.7,USD,1.0,3,
RTSI,WHFOB,2021-04-12,WHFOB,Индекс пшеницы FOB регион Черного моря,278.4,278.4,278.4,278.4,,0.0,0.0,1,278.4,USD,1.0,3,
RTSI,WHFOB,2021-04-09,WHFOB,Индекс пшеницы FOB регион Черного моря,277.2,277.2,277.2,277.2,,0.0,0.0,1,277.2,USD,1.0,3,
RTSI,WHFOB,2021-04-08,WHFOB,Индекс пшеницы FOB регион Черного моря,283.4,283.4,283.4,283.4,,0.0,0.0,1,283.4,USD,1.0,3,
RTSI,WHFOB,2021-04-07,WHFOB,Индекс пшеницы FOB регион Черного моря,282.7,282.7,282.7,282.7,,0.0,0.0,1,282.7,USD,1.0,3,
RTSI,WHFOB,2021-04-06,WHFOB,Индекс пшеницы FOB регион Черного моря,283.4,283.4,283.4,283.4,,0.0,0.0,1,283.4,USD,1.0,3,
RTSI,WHFOB,2021-04-05,WHFOB,Индекс пшеницы FOB регион Черного моря,282.0,282.0,282.0,282.0,,0.0,0.0,1,282.0,USD,1.0,3,
RTSI,WHFOB,2021-04-02,WHFOB,Индекс пшеницы FOB регион Черного моря,282.0,282.0,282.0,282.0,,0.0,0.0,1,282.0,USD,1.0,3,
RTSI,WHFOB,2021-04-01,WHFOB,Индекс пшеницы FOB регион Черного моря,282.0,282.0,282.0,282.0,,0.0,0.0,1,282.0,USD,1.0,3,
RTSI,WHFOB,2021-03-31,WHFOB,Индекс пшеницы FOB регион Черного моря,281.6,281.6,281.6,281.6,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-30,WHFOB,Индекс пшеницы FOB регион Черного моря,281.5,281.5,281.5,281.5,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-29,WHFOB,Индекс пшеницы FOB регион Черного моря,281.5,281.5,281.5,281.5,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-26,WHFOB,Индекс пшеницы FOB регион Черного моря,282.3,282.3,282.3,282.3,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-25,WHFOB,Индекс пшеницы FOB регион Черного моря,282.5,282.5,282.5,282.5,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-24,WHFOB,Индекс пшеницы FOB регион Черного моря,282.5,282.5,282.5,282.5,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-23,WHFOB,Индекс пшеницы FOB регион Черного моря,282.5,282.5,282.5,282.5,,,,1,,USD,,3,
RTSI,WHFOB,2021-03-22,WHFOB,Индекс пшеницы FOB регион Черного моря,282.93,282.93,282.93,282.93,,,,1,,USD,,3,
RTSI,WHFOB,2021-09-01,WHFOB,Индекс пшеницы FOB регион Черного моря,272.2,272.2,272.2,272.2,460671356.9686,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-31,WHFOB,Индекс пшеницы FOB регион Черного моря,263.3,263.3,263.3,263.3,680498985.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-30,WHFOB,Индекс пшеницы FOB регион Черного моря,262.1,262.1,262.1,262.1,664061246.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-27,WHFOB,Индекс пшеницы FOB регион Черного моря,262.7,262.7,262.7,262.7,647791906.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-26,WHFOB,Индекс пшеницы FOB регион Черного моря,259.0,259.0,259.0,259.0,605815946.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-25,WHFOB,Индекс пшеницы FOB регион Черного моря,259.3,259.3,259.3,259.3,658637396.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-24,WHFOB,Индекс пшеницы FOB регион Черного моря,257.8,257.8,257.8,257.8,606180681.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-23,WHFOB,Индекс пшеницы FOB регион Черного моря,257.1,257.1,257.1,257.1,606756931.874,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-20,WHFOB,Индекс пшеницы FOB регион Черного моря,248.8,248.8,248.8,248.8,602984211.939,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-19,WHFOB,Индекс пшеницы FOB регион Черного моря,246.5,246.5,246.5,246.5,548640300.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-18,WHFOB,Индекс пшеницы FOB регион Черного моря,246.5,246.5,246.5,246.5,548640300.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-17,WHFOB,Индекс пшеницы FOB регион Черного моря,244.9,244.9,244.9,244.9,525508300.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-16,WHFOB,Индекс пшеницы FOB регион Черного моря,244.8,244.8,244.8,244.8,516536300.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-13,WHFOB,Индекс пшеницы FOB регион Черного моря,243.7,243.7,243.7,243.7,566981909.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-12,WHFOB,Индекс пшеницы FOB регион Черного моря,243.1,243.1,243.1,243.1,542936189.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-11,WHFOB,Индекс пшеницы FOB регион Черного моря,243.1,243.1,243.1,243.1,542936189.339,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-10,WHFOB,Индекс пшеницы FOB регион Черного моря,243.7,243.7,243.7,243.7,630645847.299,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-09,WHFOB,Индекс пшеницы FOB регион Черного моря,243.6,243.6,243.6,243.6,619374847.299,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-06,WHFOB,Индекс пшеницы FOB регион Черного моря,243.9,243.9,243.9,243.9,570469896.539,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-05,WHFOB,Индекс пшеницы FOB регион Черного моря,244.5,244.5,244.5,244.5,496851531.539,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-04,WHFOB,Индекс пшеницы FOB регион Черного моря,244.5,244.5,244.5,244.5,496851531.539,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-03,WHFOB,Индекс пшеницы FOB регион Черного моря,244.3,244.3,244.3,244.3,463047471.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-08-02,WHFOB,Индекс пшеницы FOB регион Черного моря,244.4,244.4,244.4,244.4,449835471.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-30,WHFOB,Индекс пшеницы FOB регион Черного моря,244.5,244.5,244.5,244.5,417662010.46,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-29,WHFOB,Индекс пшеницы FOB регион Черного моря,244.7,244.7,244.7,244.7,411789510.46,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-28,WHFOB,Индекс пшеницы FOB регион Черного моря,244.7,244.7,244.7,244.7,411789510.46,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-27,WHFOB,Индекс пшеницы FOB регион Черного моря,245.3,245.3,245.3,245.3,426253795.46,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-26,WHFOB,Индекс пшеницы FOB регион Черного моря,245.2,245.2,245.2,245.2,386171901.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-23,WHFOB,Индекс пшеницы FOB регион Черного моря,244.7,244.7,244.7,244.7,410561556.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-22,WHFOB,Индекс пшеницы FOB регион Черного моря,245.0,245.0,245.0,245.0,395786366.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-21,WHFOB,Индекс пшеницы FOB регион Черного моря,245.0,245.0,245.0,245.0,395786366.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-20,WHFOB,Индекс пшеницы FOB регион Черного моря,244.0,244.0,244.0,244.0,357685146.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-19,WHFOB,Индекс пшеницы FOB регион Черного моря,244.0,244.0,244.0,244.0,357685146.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-16,WHFOB,Индекс пшеницы FOB регион Черного моря,246.3,246.3,246.3,246.3,302514876.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-15,WHFOB,Индекс пшеницы FOB регион Черного моря,248.5,248.5,248.5,248.5,330068876.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-14,WHFOB,Индекс пшеницы FOB регион Черного моря,248.5,248.5,248.5,248.5,330068876.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-13,WHFOB,Индекс пшеницы FOB регион Черного моря,248.5,248.5,248.5,248.5,330068876.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-12,WHFOB,Индекс пшеницы FOB регион Черного моря,251.9,251.9,251.9,251.9,277376841.96,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-09,WHFOB,Индекс пшеницы FOB регион Черного моря,254.4,254.4,254.4,254.4,250570503.06,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-08,WHFOB,Индекс пшеницы FOB регион Черного моря,254.5,254.5,254.5,254.5,250250963.06,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-07,WHFOB,Индекс пшеницы FOB регион Черного моря,255.1,255.1,255.1,255.1,256593331.1,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-06,WHFOB,Индекс пшеницы FOB регион Черного моря,255.2,255.2,255.2,255.2,248446331.1,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-05,WHFOB,Индекс пшеницы FOB регион Черного моря,256.0,256.0,256.0,256.0,225501221.1,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-02,WHFOB,Индекс пшеницы FOB регион Черного моря,260.0,260.0,260.0,260.0,205031111.1,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-07-01,WHFOB,Индекс пшеницы FOB регион Черного моря,257.3,257.3,257.3,257.3,116313493.06,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-30,WHFOB,Индекс пшеницы FOB регион Черного моря,259.1,259.1,259.1,259.1,214639434.92,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-29,WHFOB,Индекс пшеницы FOB регион Черного моря,259.4,259.4,259.4,259.4,229151184.92,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-28,WHFOB,Индекс пшеницы FOB регион Черного моря,259.2,259.2,259.2,259.2,240371184.92,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-25,WHFOB,Индекс пшеницы FOB регион Черного моря,259.5,259.5,259.5,259.5,240764972.1253,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-24,WHFOB,Индекс пшеницы FOB регион Черного моря,259.9,259.9,259.9,259.9,222532472.1253,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-23,WHFOB,Индекс пшеницы FOB регион Черного моря,260.0,260.0,260.0,260.0,207669874.125,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-22,WHFOB,Индекс пшеницы FOB регион Черного моря,260.0,260.0,260.0,260.0,215483374.125,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-21,WHFOB,Индекс пшеницы FOB регион Черного моря,258.2,258.2,258.2,258.2,197717374.125,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-18,WHFOB,Индекс пшеницы FOB регион Черного моря,257.5,257.5,257.5,257.5,185690990.125,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-17,WHFOB,Индекс пшеницы FOB регион Черного моря,257.4,257.4,257.4,257.4,196910990.125,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-16,WHFOB,Индекс пшеницы FOB регион Черного моря,257.8,257.8,257.8,257.8,168849408.165,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-15,WHFOB,Индекс пшеницы FOB регион Черного моря,256.0,256.0,256.0,256.0,220593446.7161,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-11,WHFOB,Индекс пшеницы FOB регион Черного моря,246.7,246.7,246.7,246.7,215567856.4111,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-10,WHFOB,Индекс пшеницы FOB регион Черного моря,249.8,249.8,249.8,249.8,174591016.4111,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-09,WHFOB,Индекс пшеницы FOB регион Черного моря,248.8,248.8,248.8,248.8,160024766.4111,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-08,WHFOB,Индекс пшеницы FOB регион Черного моря,247.7,247.7,247.7,247.7,158745277.86,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-07,WHFOB,Индекс пшеницы FOB регион Черного моря,248.3,248.3,248.3,248.3,174791769.09,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-04,WHFOB,Индекс пшеницы FOB регион Черного моря,243.7,243.7,243.7,243.7,206866019.09,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-06-03,WHFOB,Индекс пшеницы FOB регион Черного моря,242.8,242.8,242.8,242.8,190048512.23,0.0,0.0,1,0.0,USD,0.0,3,
